cell,vertex,x,y
130,0,-4.25,1.75
130,1,-4,1.625
130,2,-4.25,2.375
131,0,-4,-0.625
131,1,-3.875,-0.5
131,2,-4,-0.125
132,0,-4,4.875
132,1,-3.875,4.5
132,2,-3.875,4.625
133,0,-4,1.625
133,1,-3.625,0.875
133,2,-3.875,1.875
134,0,-4.125,5.375
134,1,-4,5.25
134,2,-3.5,4.875
135,0,-4,4.875
135,1,-3.875,4.75
135,2,-3.625,4.75
136,0,-4.375,3.375
136,1,-4,2.5
136,2,-4,2.75
137,0,-4,-0.875
137,1,-3.875,-0.5
137,2,-4,-0.625
138,0,-4.25,4.875
138,1,-4,4.875
138,2,-4.125,5.125
139,0,-4,-0.125
139,1,-3.875,-0.5
139,2,-3.875,0.375
140,0,-4.125,0.625
140,1,-3.875,0.375
140,2,-4.125,1
141,0,-3.875,-0.875
141,1,-3.75,-1.25
141,2,-3.75,-0.875
142,0,-3.875,4.25
142,1,-3.625,4.125
142,2,-3.875,4.5
143,0,-4,2.5
143,1,-3.75,2.5
143,2,-4,2.75
144,0,-3.75,-0.25
144,1,-3.625,-0.625
